,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
10,Чемпіонат Львівської області U-10,20210819,20210821,"ЛОШФ, ЛОДА",Назар Фірман /14104490/,Микола Костів /14149095/,Масляк Данило /14113163/,,Львів,UKR,22.08.2021  15:04 ,0,52,9,9,574462,Schweizer System                                            ,8
11,Першість шахової школи В.Іванчука з нормою 1 розряду 20-22.08.2021,20210820,20210822,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,22.08.2021  14:40 ,0,11,9,9,573735,Schweizer System                                            ,8
12,Першість шахової школи В.Іванчука з нормою 3 розряду 22.08.2021,20210822,20210822,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,22.08.2021  14:06 ,0,15,9,9,573737,Schweizer System                                            ,8
13,Чемпіонат Донецької області з класичних шахів,20210814,20210822,,,Мартинков О.В.,,,Краматорськ,UKR,22.08.2021  13:02 ,0,29,9,9,574099,Schweizer System                                            ,8
14,"21.08.2021. ""КУБОК НЕЗАЛЕЖНОСТІ - 2021"" BLITZ U18м. Київ",20210821,20210821,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,,"DreamTown2, Kyiv, Obolon avenue 21",UKR,22.08.2021  10:56 ,0,64,11,11,571871,Schweizer System                                            ,8
15,"Шаховий турнір, присвячений 30-й річниці Дня Незалежності України, м. Золотоноша",20210821,20210821,,Синьоок М.,Ісько Я.,,"Тараненко В., Синьоок М.",м. Золотоноша,UKR,21.08.2021  20:17 ,0,14,9,9,575015,Schweizer System                                            ,8
16,Чемпіонат України з шахів серед аматорів ,20210812,20210815,"Кушнір Олег, Жуган Сергій, Городиський Олег",Кушнір Олег 					,MA Гнип Юрій ,МА Городиський Олег ,"Фінкель Володимир 1к., Ісько Ярослав 2к., Чопоров Андрій 2к., Шахайло Вячеслав 2к. ","м.Черкаси, гімназія №9, вул. Ільєнка 52	",UKR,20.08.2021  14:24 ,0,153,9,9,567295,Schweizer System                                            ,8
17,День НЕЗАЛЕЖНОСТІ (Вінниця),20210812,20210818,МДЮСШ №6,Боднар Микола,Боднар Микола,Дорофєєв Станіслав,Щербина Дмитро,Вінниця,UKR,19.08.2021  10:50 ,0,35,10,10,573705,Schweizer System                                            ,8
18,Ukraine Amateur Chess Championship (Blitz),20210817,20210817,"148062099 Kushnir Oleg, 14168898 Zhugan Sergey, 14136627 Horodyskyi Oleh ","148062099 Kushnir, Oleg (UKR)					","14129353 Gnyp, Yuriy (UKR) IA, IO, FT","14136627 Horodyskyi, Oleh (UKR) IA, FI",,Cherkasy				,UKR,17.08.2021  14:51 ,0,133,11,11,565024,Schweizer System                                            ,8
19,Ukraine Amateur Chess Championship (Rapid) ,20210816,20210816,"148062099 Kushnir Oleg, 14168898 Zhugan Sergey, 14136627 Horodyskyi Oleh ","148062099 Kushnir, Oleg (UKR)					","14129353 Gnyp, Yuriy (UKR) IA, IO, FT","14136627 Horodyskyi, Oleh (UKR) IA, FI",,Cherkasy				,UKR,17.08.2021  07:18 ,0,162,9,9,565021,Schweizer System                                            ,8
20,Ukraine Amateur Chess Championship ,20210812,20210815,"148062099 Kushnir Oleg, 14168898 Zhugan Sergey, 14136627 Horodyskyi Oleh ","148062099 Kushnir, Oleg (UKR)					","14129353 Gnyp, Yuriy (UKR) IA, IO, FT","14136627 Horodyskyi, Oleh (UKR) IA, FI",,Cherkasy				,UKR,17.08.2021  07:18 ,0,153,9,9,565018,Schweizer System                                            ,8
21, Lviv Open Cup 2021 (U-12),20210814,20210816,Lviv Regional Chess Federation,Firman Nazar 14104490,"Grabinsky, Vladimir 14107074","Matviychuk, Bohdan 14198835","Savchuk, Liubov 14177374; Kostiv, Mykola 14149095",Lviv,UKR,16.08.2021  16:15 ,0,115,9,9,570011,Schweizer System                                            ,8
22,Відкритий кубок Львова з шахів 2021 (U-20),20210809,20210813,Львівська обласна шахова федерація,Фірман Назар 14104490,Грабінський Володимир 14107074,Семенов Дмитро 14104482,Савчук Юлія 14131447; Матвійчук Богдан 14198835,Львів,UKR,16.08.2021  11:34 ,0,97,9,9,573785,Schweizer System                                            ,8
23,"""Бар11,2021""",20210814,20210815,"Кобиль Анатолій, Боднар Микола",Кобиль Анатолій,Личкін Віктор,Бондар Микола,,м. Бар Вінницька область,UKR,15.08.2021  18:38 ,0,42,6,6,574070,Schweizer System                                            ,8
24,Championship of Zaporizhzhya region-2021-rapid,20210815,20210815,,,"Druzshinets, Oleksiy (UKR)",,,Zaporizhzhia,UKR,15.08.2021  16:32 ,0,53,9,9,573961,Schweizer System                                            ,8
25, Lviv Open Cup 2021 (U-20),20210809,20210813,Lviv Regional Chess Federation,Firman Nazar 14104490,"Grabinsky, Vladimir 14107074","Semenov, Dmitri 14104482","Savchuk, Julia 14131447; Matviychuk, Bohdan 14198835",Lviv,UKR,13.08.2021  18:19 ,0,97,9,9,569899,Schweizer System                                            ,8
26,Кубок ДЮСШ №9 2021,20210802,20210812,,,Максимов Д.І.,Романова К.А.,,Дніпро,UKR,12.08.2021  15:45 ,0,25,9,9,572406,Schweizer System                                            ,8
27,Славське 2021 Бліц (Вінниця),20210811,20210811,,,,,,Вінниця,UKR,11.08.2021  15:22 ,0,24,9,9,573710,Schweizer System                                            ,8
28,"6-8.08.2021 Кваліфікаційний турнір 3 розряду""Шахова Школа"" DreamTown2",20210806,20210808,Шахова Школа,Семенов Д.,Семенов Д.,,"Хріновський О., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,08.08.2021  18:43 ,0,25,9,9,571833,Schweizer System                                            ,8
29,"6-8.08.2021 Кваліфікаційний турнір 2 розряду""Шахова Школа"" DreamTown2",20210806,20210808,Шахова Школа,Семенов Д.,Семенов Д.,,"Хріновський О., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,08.08.2021  18:43 ,0,39,9,9,571832,Schweizer System                                            ,8
30,"7-8.08.2021 Кваліфікаційний турнір 4 розряду та безрозрядників Шахова Школа"" DreamTown2",20210807,20210808,Шахова Школа,Семенов Д.,Семенов Д.,,"Хріновський О., Ритенко В.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,08.08.2021  13:55 ,0,44,9,9,571836,Schweizer System                                            ,8
31,BURYSHYN CUP 2021,20210806,20210807,"puer.ua, 14110954 Buryshin, Vasyl","14110954 Buryshin, Vasyl (UKR)","14135744 Keik, Mykola (UKR) IA, IO ",,,Mukachevo,UKR,07.08.2021  13:33 ,0,46,9,9,568489,Schweizer System                                            ,8
32,Championship of Zaporizhzhya region-2021-blitz,20210806,20210806,,,"14141787 Druzshinets, Oleksiy (UKR)",,,Zaporizhzhia,UKR,06.08.2021  18:37 ,0,50,9,9,572910,Schweizer System                                            ,8
33,Першість КЗ ДЮСШ Дебют,20210806,20210806,,,Ромашов А.В.,,,,UKR,06.08.2021  16:51 ,0,24,11,11,572920,Schweizer System                                            ,8
34,Южне бліц Закриття Олімпіади-2021,20210806,20210806,ШШК Южного,Лещишак Ігор,Лещишак Ігор,Ковальов Денис,Пустинцев Вячеслав,Южне,UKR,06.08.2021  16:32 ,0,20,7,7,572935,Schweizer System                                            ,8
35,Zori Karpat. Tournament A (OPEN),20210802,20210806,"14182610 Palahitska, Nataliia (UKR)					","14182610 Palahitska, Nataliia (UKR)	","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)					",,Mykulychyn,UKR,06.08.2021  12:59 ,0,56,9,9,566769,Schweizer System                                            ,8
36,Зорі Карпат. Турнір В (Класика),20210802,20210806,"14182610 Palahitska, Nataliia (UKR)					","14182610 Palahitska, Nataliia (UKR)	","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)				",,Микуличин,UKR,06.08.2021  12:32 ,0,49,9,9,566943,Schweizer System                                            ,8
37,Хвилі Чорного моря 2021 ,20210802,20210805,ФШЮ,,"14109255 Shpilevoy, Eugen  NA",,,м. Южне Одеська обл.,UKR,06.08.2021  05:13 ,0,50,9,9,571546,Schweizer System                                            ,8
38,Фестиваль шлях до майстерності -АМиколаїв,20210726,20210731,ФШМО,Горощенко Дмитро,Хамзін Р.А.,Ларкін С.Ю.,Хамзін С.Р.,Миколаїв,UKR,03.08.2021  17:41 ,0,47,10,10,570119,Schweizer System                                            ,7
39,Турнір з швидких шахів з нагоди 1033 річниці міста Володимир-Волинський,20210801,20210801,,,Черняк Олена Євгеніївна,,,м. Володимир-Волонський,UKR,02.08.2021  08:34 ,0,47,7,7,572355,Schweizer System                                            ,8
40,Чеміонат Києва з шахів серед жінок 202 р.,20210724,20210801,ФШК,Приходько О.П.,МА Товчига О.Г.,,,Київ,UKR,01.08.2021  19:46 ,0,14,9,9,572261,Schweizer System                                            ,8
41,Kyiv Chess Championship Women - 2021					,20210724,20210801,Kyiv City Chess Federation,,"IA Tovchyga, Oleg /UKR/ 14128748",,,Kyiv,UKR,01.08.2021  19:43 ,0,14,9,9,570455,Schweizer System                                            ,8
42,Zori Karpat. Tournament C (rapid),20210801,20210801,"ГО ""Івано-Франківський обласний шаховий центр""",Nataliia Palahitska,"14182610 Palahitska, Nataliia ",,,Mykulychyn,UKR,01.08.2021  17:14 ,0,43,9,9,571315,Schweizer System                                            ,8
43,Zori Karpat. Tournament D (rapid),20210801,20210801,"ГО ""Івано-Франківський обласний шаховий центр""",Nataliia Palahitska,"14182610 Palahitska, Nataliia ",,,Mykulychyn,UKR,01.08.2021  17:12 ,0,52,9,9,571316,Schweizer System                                            ,8
44,Першість шахової школи В.Іванчука з нормою 2 розряду,20210731,20210801,Шахова школа-клуб Василя Іванчука,Оксана Криницька,Олександр Улан,,,Львів,UKR,01.08.2021  15:34 ,0,20,9,9,571266,Schweizer System                                            ,8
45,Championship Vinnitsa region (Rapid),20210801,20210801,,"Bodnar, Nikolay (UKR)   ","Roienko, Artur (UKR)  ",,,,UKR,01.08.2021  15:19 ,0,44,9,9,572171,Schweizer System                                            ,8
46,Першість шахової школи В.Іванчука з нормою 3 розряду,20210801,20210801,Шахова школа-клуб В.Іванчука,Оксана Криницька,Олександр Улан,,,Львів,UKR,01.08.2021  14:39 ,0,11,9,9,571268,Schweizer System                                            ,8
47,Jubilee tournament (Blitz),20210801,20210801,,,"34152148 NA  Vitalii, Butsykin ",,,,UKR,01.08.2021  13:19 ,0,21,9,9,572196,Schweizer System                                            ,8
48,Кубок ОШШК Бліц Шахи до Міжнародного Дня Дружби,20210731,20210731,,"14106329 Kobylianskyi, Ihor (UKR) NA","14106329 Kobylianskyi, Ihor (UKR) NA",,,"м. Івано-Франківськ, Шаховий клуб ""Дебют"" КЗ ""І-Ф ДЮСШ № 3""",UKR,31.07.2021  19:37 ,0,10,8,8,572083,Schweizer System                                            ,7
49,Кубок ОШШК Швидкі Шахи до Міжнародного Дня Дружби,20210731,20210731,,"14106329 Kobylianskyi, Ihor (UKR) NA","14106329 Kobylianskyi, Ihor (UKR) NA",,,"м. Івано-Франківськ, Шаховий клуб ""Дебют"" КЗ ""І-Ф ДЮСШ № 3""",UKR,31.07.2021  19:37 ,0,9,7,7,572082,Schweizer System                                            ,7
50,Dmitrenko-Bogachov Cup,20210731,20210731,Bogachov Oleksii FT ID FIDE 14109387,,Bogachov Oleksii IA ID FIDE 14109387,,,Molodizhne,UKR,31.07.2021  19:25 ,0,16,7,7,571669,Schweizer System                                            ,7
51,Шаховий турнір приурочений 156 річниці з дня народження Андрея Шептицького,20210731,20210731,НШК,"Matviychuk, Andrey 14107422","Matviychuk, Bohdan 14198835","Matviychuk, Andrey 14107422",,"Novoyavorivs, Lviv region",UKR,31.07.2021  17:48 ,0,92,9,9,570463,Schweizer System                                            ,7
52,Zori Karpat. Tournament E (blitz),20210731,20210731,,"14182610 Palahitska, Nataliia","14182610 Palahitska, Nataliia ",,,Mykulychyn,UKR,31.07.2021  17:32 ,0,57,11,11,569178,Schweizer System                                            ,7
53,"Гран-Прі Черкаської області з швидких шахів (м.Кам'янка, 9 етап)",20210731,20210731,,				,МА Городиський Олег 14136627,,,м.Кам'янка	,UKR,31.07.2021  14:11 ,0,29,9,9,571881,Schweizer System                                            ,7
54,Вікдкритий чемпіонат Вінниці серед медиків,20210731,20210731,МДЮСШ №6,Боднар Микола,Боднар Микола,Вусатюк Володимир,,Вінниця,UKR,31.07.2021  14:08 ,0,40,7,7,571918,Schweizer System                                            ,7
55,Першість шахової школи В.Іванчука з нормою 4 розряду,20210731,20210731,Шахова школа-клуб В.Іванчука,Оксана Криницька,Олександр Улан,,,Львів,UKR,31.07.2021  13:52 ,0,11,9,9,571269,Schweizer System                                            ,7
56,"ШАХОВИЙ ТАБІР В КАРПАТАХ - 2021, BLITZЛьвівська Шахова Академія",20210725,20210730,Львівська Шахова Академія,Фірман Н.,Семенов Д.,,,Карпати,UKR,30.07.2021  20:50 ,0,36,15,15,571182,Schweizer System                                            ,7
57,"ШАХОВИЙ ТАБІР В КАРПАТАХ - 2021, Rapid GROUP 1Львівська Шахова Академія",20210724,20210724,Львівська Шахова Академія,Фірман Н.,Семенов Д.,,,Карпати,UKR,30.07.2021  20:10 ,0,29,5,5,570918,Schweizer System                                            ,7
58,Summer Chess Capm 2021,20210730,20210730,Центр виховання національної еліти,Литвинець Антон Іванович,Красногор Юрій Васильович,,,Орявчик,UKR,30.07.2021  14:44 ,0,13,9,9,571772,Schweizer System                                            ,7
59,Орявчик опен 2021,20210714,20210717,"Ромашов А.В., КЗ ДЮСШ ""Дебют""",Ромашов А.В.,Ромашов А.В.,"Французов О.С,",Волошинський Л.Ю.,,UKR,28.07.2021  20:25 ,0,21,9,9,569611,Schweizer System                                            ,7
60,Славське ОТГ турнір С,20210722,20210722,,,Ромашов А.В.,,,,UKR,28.07.2021  20:24 ,0,17,9,9,570739,Schweizer System                                            ,7
61,Славське ОТГ турнір B,20210722,20210722,,,"Ромашов А.В,",,,,UKR,28.07.2021  20:23 ,0,16,9,9,570740,Schweizer System                                            ,7
62,"Турнір Славської ОТГ присвячений дню шахів, Турнір А",20210722,20210722,"Славське ОТГ, Ромашов А.В.",,Ромашов А.В.,Волошинський Л.Ю.,Вусатюк В.О.,"Волосянка ЗЗСО І-ІІст. ,  вул Шевченка 48Б",UKR,28.07.2021  20:23 ,0,23,9,9,570733,Schweizer System                                            ,7
63,"Поділля-2021,Вінниця",20210721,20210727,МДЮСШ №6,Боднар Микола,Боднар Микола,Дорофєєв Станіслав,,Вінниця,UKR,27.07.2021  13:16 ,0,32,10,10,570549,Schweizer System                                            ,7
64,Dzharilgatska zatoka-2021,20210720,20210727,,,"Kryzhanovskaya, Zhanna / UKR /, 14146843",,,Skadovsk,UKR,27.07.2021  11:50 ,0,35,9,9,570797,Schweizer System                                            ,7
65,Джарилгацька затока 2021 турнір В,20210720,20210727,"Скадовська міська рада, ГО ""Курортні шахи""",Коваленко В.Ю.,Крижановська Ж.М.,,Коваленко В.Ю.,Скадовськ,UKR,27.07.2021  10:43 ,0,22,9,9,570522,Schweizer System                                            ,7
66,Фестиваль шлях до майстерності - БМиколаїв,20210722,20210726,ФШМО,Горощенко Дмитро,Хамзін Р.А.,"Ларкін С.Ю,",Хамзін С.Р.,Миколаїв,UKR,26.07.2021  12:25 ,0,21,10,10,570122,Schweizer System                                            ,7
67,Гірська Оселя ОПЕН,20210723,20210726,,Ромашов А.В.,"Волошинський Л.Ю,",Ромашов А.В.,Вусатюк В.О.,,UKR,26.07.2021  11:43 ,0,16,9,9,570885,Schweizer System                                            ,7
68,X ДШТ Східницьке літо-2021,20210725,20210725,Східницьке ОТГ,Стецун А.І.,Яремко І.Д.,Мізик І.Л.,"Лещишак І.С., Колодійчик В.Г.",Східниця,UKR,26.07.2021  01:15 ,0,26,7,7,571145,Schweizer System                                            ,7
69,«11-КУБОК БУЧАЧА» ,20210725,20210725,"Відділ культури, молоді та спорту Бучачської ОТГ",Захарчук І.Р.,Ільницький І.М.,,,"м.Бучач, Тернопільська обл.,  вул., ",UKR,25.07.2021  15:20 ,0,41,9,9,571102,Schweizer System                                            ,7
70,Чернівці OPEN-2021Live: http://bukchess.com/chernivtsi-open-2021-translyaciya-partijj/,20210720,20210725,"34158944 Bilych, Ivan (UKR)","34158944 Bilych, Ivan (UKR)","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)				",,Chernivtsi,UKR,25.07.2021  11:42 ,0,53,9,9,570866,Schweizer System                                            ,7
71,Chernivtsi OPEN-2021Live: http://bukchess.com/chernivtsi-open-2021-translyaciya-partijj/,20210720,20210725,"34158944 Bilych, Ivan (UKR)","34158944 Bilych, Ivan (UKR)","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)				","14135744 Keik, Mykola (UKR)",Chernivtsi,UKR,25.07.2021  11:42 ,0,53,9,9,566630,Schweizer System                                            ,7
72,Чернівці юнацький - 2021,20210720,20210725,"34158944 Bilych, Ivan (UKR)									","34158944 Bilych, Ivan (UKR)					","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)					",,Чернівці,UKR,25.07.2021  10:03 ,0,13,9,9,569431,Schweizer System                                            ,7
73,Шаховий турнір присвячений Міжнародному дню шахів    Стрийський район с.Угерсько,20210724,20210724,Стрийська районна шахова - шашкова федерація,Музичук Олег,Соловйов Олександр,Музичук Наталія,,с. Угерсько Стрийський район,UKR,24.07.2021  20:59 ,0,57,9,9,570985,Schweizer System                                            ,7
74,Chernivtsi-2021 (blitz),20210724,20210724,"34158944 Bilych, Ivan (UKR)","34158944 Bilych, Ivan (UKR)","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)				",,Chernivtsi,UKR,24.07.2021  17:28 ,0,44,9,9,570982,Schweizer System                                            ,7
75,Dzharilgatska zatoka-2021(blits),20210724,20210724,,,"Kryzhanovskaya, Zhanna / UKR /, 14146843",,,Skadovsk,UKR,24.07.2021  12:26 ,0,51,9,9,570979,Schweizer System                                            ,7
76,Острів 2021,20210723,20210723,"Green Chess, Brigantina",Rybchenko Alexandr,Grinev Valeriy,Grinva Marianna,"Zubarev Alexandr, Shepelev Igor","Kyiv, Park Muromets",UKR,24.07.2021  08:14 ,0,14,7,7,570860,Schweizer System                                            ,7
77,Chess Day Chervonohrad-2021,20210720,20210720,"ЧШШК ""е2-е4"", кафе ""База""",Лещишак І.С.,Лещишак І.С.,Вахула А.В.,Чугай В.О.,Червоноград,UKR,24.07.2021  00:03 ,0,41,9,9,570486,Schweizer System                                            ,7
78,Dzharilgatska zatoka-2021 (rapid),20210723,20210723,,," Kryzhanovskaya, Zhanna / UKR /,14146843",,,Skadovsk,UKR,23.07.2021  17:06 ,0,52,9,9,570846,Schweizer System                                            ,7
79,Турнір з швидких шахів з нагодиМіжнародного дня шахів,20210720,20210720,,,Черняк Олена Євгеніївна,,,м. Луцьк Волинська обл.,UKR,22.07.2021  23:14 ,0,24,7,7,570824,Schweizer System                                            ,7
80,Chess Day-Tokmak-2021,20210722,20210722,,,"Druzshinets, Oleksiy (UKR)",,,"Tokmak, Zaporozhye region",UKR,22.07.2021  18:27 ,0,11,7,7,570744,Schweizer System                                            ,7
81,"Турнір з класичних шахів серед дорослих, юнаків та дівчат з нагоди Дня міста Ковеля",20210701,20210705,,,Портянко Тетяна Володимирівна,,,м. Ковель,UKR,22.07.2021  11:49 ,0,34,9,9,567972,Schweizer System                                            ,7
82,Kyiv Chess Open 2021 U-16					,20210720,20210721,"UCF, Kyiv Region Chess Federation",,"IA Tovchyga, Oleg /UKR/ 14128748","IA Larkin, Sergii /UKR/ 14175630",,Kyiv,UKR,21.07.2021  15:15 ,0,133,11,11,568276,Schweizer System                                            ,7
83,Гірська Оселя,20210720,20210720,,Ромашов А.В.,Ромашов А.В.,Волошинський Л.Ю.,Вусатюк О.В.,,UKR,21.07.2021  08:00 ,0,25,7,7,570572,Schweizer System                                            ,7
84,"Турнір, присвячений Міжнародному дню шахів. Бліц",20210720,20210720,"ОШШК, ПАТ ""БАНК ВОСТОК""",,Ясько А.І.,,,"Одеса, вул. Канатна, 95",UKR,20.07.2021  15:56 ,0,25,9,9,570562,Schweizer System                                            ,7
85,Chess Day Blitz in the Shevchenko Park - 2021,20210720,20210720,Ukrainian Chess Federation,Yuriy Gnyp (UKR) /14129353/,IA Yurij Pepa (UKR) /14136422/,,,Kyiv,UKR,20.07.2021  13:13 ,0,54,7,7,569956,Schweizer System                                            ,7
86,Open tournament Kherson 2021,20210716,20210720,"упр-я молоді та спорту ХМР, упр-я фіз.культури, молоді та спорту, ФШХО",,"14110190  Horoschavina, Oksana  (UKR)","14171350 Novikov, Evgeniy (UKR)",,Kherson,UKR,20.07.2021  13:13 ,0,20,9,9,569633,Schweizer System                                            ,7
87,"Всеукраїнський шаховий турнір ""Херсон-2021"", присвячений Дню шахівТурнір В",20210716,20210720,"упр-я молоді та спорту ХМР,упр-я фіз.культури, молоді та спорту облдержадм.,ФШХО",,Хорошавіна О.В.,Новіков Є.А.,"Богданова Л.П., Тельман В.М., Козак Л.М.","Херсон, ДЮСШ з шахів і шашок",UKR,20.07.2021  11:49 ,0,45,9,9,569634,Schweizer System                                            ,7
88,"Всеукраїнський шаховий турнір ""Херсон-2021"", присвячений Дню шахівТурнір С",20210716,20210720,"упр-я молоді та спорту ХМР,упр-я фіз.культури, молоді та спорту облдержадм.,ФШХО",,Хорошавіна О.В.,Новіков Є.А.,"Богданова Л.П., Тельман В.М., Козак Л.М.","Херсон, ДЮСШ з шахів і шашок",UKR,20.07.2021  11:41 ,0,25,9,9,569635,Schweizer System                                            ,7
89,"Турнір до Дня шахів - А, Городок ",20210718,20210718,"Шаховий клуб ""Е2-Е4""",Грех А.,Нощенко І.,Матвієнко М.,,Городок,UKR,18.07.2021  16:43 ,0,62,9,9,569269,Schweizer System                                            ,7
90,"«КУБОК ТРЕНЕРА» група-А ""ДРУЗІ""",20210707,20210707,"Відділ культури, молоді та спорту Жовківської ОТГ; Жовківський ШШК «Дебют»",Копцюх В.С.,Ільницький І.М.,,,"Жовква, Будинок Культури ""Просвіта"", вул.Львівська, 37",UKR,18.07.2021  16:33 ,0,27,9,9,568961,Schweizer System                                            ,7
91,"«КУБОК ТРЕНЕРА» група-C ""ШКОЛЯРІ""",20210707,20210707,"Відділ культури, молоді та спорту Жовківської ОТГ; Жовківський ШШК «Дебют»",Копцюх В.С.,Ільницький І.М.,,,"Жовква, Будинок Культури ""Просвіта"", вул.Львівська, 37",UKR,18.07.2021  15:43 ,0,25,9,9,569746,Schweizer System                                            ,7
92,"Турнір до Дня шахів - Б, Городок",20210718,20210718,"Шаховий клуб ""Е2-Е4""",Грех А.,Нощенко І.,Матвієнко М.,,Городок,UKR,18.07.2021  15:41 ,0,39,9,9,569378,Schweizer System                                            ,7
93,"«КУБОК ТРЕНЕРА» група-B ""ВЕТЕРАНИ, ДОРОСЛІ""",20210707,20210707,"Відділ культури, молоді та спорту Жовківської ОТГ; Жовківський ШШК «Дебют»",Копцюх В.С.,Ільницький І.М.,,,"Жовква, Будинок Культури ""Просвіта"", вул.Львівська, 37",UKR,18.07.2021  14:51 ,0,12,7,7,569745,Schweizer System                                            ,7
94,Шахова Королева для дітей,20210718,20210718,"ГО ""Івано-Франківський обласний шаховий центр""",Н.Палагіцька,Н.Палагіцька,,,,UKR,18.07.2021  13:33 ,0,28,9,9,569661,Schweizer System                                            ,7
95,Day of chess in Ukraine-2021 (Blitz),20210717,20210717,"Firman, Nazar (UKR) /14104490/","Firman, Nazar (UKR) /14104490/","Kostiv, Mykola (UKR) /14149095/","Ilnitskyy, Ivan (UKR) /14151804/",,Lviv,UKR,17.07.2021  18:33 ,0,44,14,14,569752,Schweizer System                                            ,7
96,Кубок І-Ф ДЮСШ № 3 Швидкі Шахи до Дня Шахів в Україні,20210717,20210717,"І-Ф ДЮСШ №3,  ГО ""Мами Прикарпаття"" та ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,17.07.2021  16:42 ,0,11,9,9,569623,Schweizer System                                            ,7
97,День шахів 2021(Львів) - Турнір Б - кваліфікаційний,20210717,20210717,Львівська Обласна Шахова Федерація,Фірман Назар,Масляк Данило,Борецький Сергій,,Львів,UKR,17.07.2021  13:42 ,0,34,9,9,569766,Schweizer System                                            ,7
